time,open,high,low,close,volume
2026-08-12T23:05:00.000Z,4403.760,4405.410,4403.230,4405.410,530
2026-08-12T23:10:00.000Z,4405.280,4405.940,4405.030,4405.690,573
2026-08-12T23:15:00.000Z,4405.700,4408.010,4405.670,4407.390,491
2026-08-12T23:20:00.000Z,4407.560,4408.480,4407.410,4408.320,384
2026-08-12T23:25:00.000Z,4408.520,4409.820,4407.590,4408.360,734
2026-08-12T23:30:00.000Z,4408.370,4410.440,4408.240,4408.840,555
2026-08-12T23:35:00.000Z,4408.880,4409.590,4407.950,4408.260,309
2026-08-12T23:40:00.000Z,4408.400,4409.190,4407.190,4408.580,396
2026-08-12T23:45:00.000Z,4408.690,4410.080,4408.310,4408.640,547
2026-08-12T23:50:00.000Z,4408.650,4411.180,4407.930,4411.170,646
2026-08-12T23:55:00.000Z,4411.170,4414.440,4410.860,4414.420,1049
2026-08-13T00:00:00.000Z,4414.550,4419.450,4412.980,4416.380,2230
2026-08-13T00:05:00.000Z,4416.370,4422.120,4415.520,4421.060,2003
2026-08-13T00:10:00.000Z,4421.040,4421.210,4418.650,4419.240,1505
2026-08-13T00:15:00.000Z,4419.120,4429.450,4419.100,4428.540,2126
2026-08-13T00:20:00.000Z,4428.600,4437.650,4428.310,4434.250,2104
2026-08-13T00:25:00.000Z,4434.260,4434.530,4426.970,4428.440,2032
2026-08-13T00:30:00.000Z,4428.360,4449.840,4424.590,4444.360,2568
2026-08-13T00:35:00.000Z,4444.260,4445.400,4437.190,4437.640,2567
2026-08-13T00:40:00.000Z,4437.650,4440.590,4437.330,4440.190,2220
2026-08-13T00:45:00.000Z,4440.190,4440.260,4429.520,4429.630,2193
2026-08-13T00:50:00.000Z,4429.770,4432.670,4428.890,4431.510,2110
2026-08-13T00:55:00.000Z,4431.540,4431.630,4424.150,4427.410,2436
2026-08-13T01:00:00.000Z,4427.810,4433.970,4422.730,4433.510,3703
2026-08-13T01:05:00.000Z,4433.440,4435.360,4430.940,4434.960,3031
2026-08-13T01:10:00.000Z,4434.930,4435.040,4428.850,4430.110,2532
2026-08-13T01:15:00.000Z,4430.140,4435.310,4426.910,4427.150,2347
2026-08-13T01:20:00.000Z,4427.170,4427.630,4419.100,4421.300,2335
2026-08-13T01:25:00.000Z,4421.220,4423.660,4419.210,4419.380,1935
2026-08-13T01:30:00.000Z,4419.310,4429.010,4419.030,4428.410,2528
2026-08-13T01:35:00.000Z,4428.470,4430.200,4424.320,4424.350,2398
2026-08-13T01:40:00.000Z,4424.060,4424.060,4417.790,4419.250,2141
2026-08-13T01:45:00.000Z,4419.190,4419.260,4410.520,4412.770,2843
2026-08-13T01:50:00.000Z,4412.760,4415.560,4409.470,4415.560,2480
2026-08-13T01:55:00.000Z,4415.510,4416.090,4406.260,4408.500,2045
2026-08-13T02:00:00.000Z,4408.500,4410.250,4405.780,4408.330,2245
2026-08-13T02:05:00.000Z,4408.240,4413.490,4405.530,4413.170,2355
2026-08-13T02:10:00.000Z,4413.060,4414.090,4410.250,4410.790,1884
2026-08-13T02:15:00.000Z,4410.750,4411.970,4410.090,4411.770,1267
2026-08-13T02:20:00.000Z,4412.000,4412.460,4405.870,4406.600,1383
2026-08-13T02:25:00.000Z,4406.610,4408.870,4406.240,4406.580,1130
2026-08-13T02:30:00.000Z,4406.570,4406.570,4400.470,4402.600,3003
2026-08-13T02:35:00.000Z,4402.650,4409.170,4398.940,4408.880,2504
2026-08-13T02:40:00.000Z,4408.900,4410.420,4406.320,4410.420,2092
2026-08-13T02:45:00.000Z,4410.450,4410.510,4407.360,4410.200,2081
2026-08-13T02:50:00.000Z,4410.190,4410.750,4405.600,4405.650,1638
2026-08-13T02:55:00.000Z,4405.710,4408.310,4405.670,4407.240,1393
2026-08-13T03:00:00.000Z,4407.060,4411.620,4406.960,4410.940,2040
2026-08-13T03:05:00.000Z,4411.070,4412.280,4407.900,4408.100,2020
2026-08-13T03:10:00.000Z,4408.120,4409.490,4404.210,4407.110,1896
2026-08-13T03:15:00.000Z,4407.100,4410.170,4405.680,4408.930,1812
2026-08-13T03:20:00.000Z,4408.920,4409.560,4407.150,4409.330,1558
2026-08-13T03:25:00.000Z,4409.320,4410.170,4407.740,4409.250,1658
2026-08-13T03:30:00.000Z,4409.370,4410.480,4409.090,4409.900,940
2026-08-13T03:35:00.000Z,4409.940,4410.530,4408.900,4409.280,953
2026-08-13T03:40:00.000Z,4409.260,4409.290,4405.440,4405.960,1162
